Book Id  ,Title                                                                                                      ,Author                   ,Author l-f                  ,Additional Authors                                                                                                                                                                                                                                                          ,ISBN              ,ISBN13               ,My Rating ,Average Rating ,Publisher                                   ,Binding               ,Number of Pages ,Year Published ,Original Publication Year ,Date Read  ,Date Added ,Bookshelves       ,Bookshelves with positions ,Exclusive Shelf   ,My Review                                                                                                                                                                                                                                                                                                            ,Spoiler ,Private Notes ,Read Count ,Owned Copies ,PublishedDate ,PageCount ,Categories                              ,AverageRating ,RatingsCount ,Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,ImageURL
56554377 ,"Der Gebannte (Das Reich der blauen Flamme, #1)"                                                           ,Alexey Pehov             ,"Pehov, Alexey"             ,Christiane Pöhlmann                                                                                                                                                                                                                                                         ,9783492997652     ,"=""9783492705516""" ,        3 ,          4.07 ,Piper ebooks                                ,Paperback             ,          416.0 ,        2021.0 ,                   2014.0 ,           ,2023/07/09 ,                  ,                           ,read              ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         1 ,           0 ,2021-02-01    ,      517 ,Fiction                                 ,              ,             ,"Der Sage nach hat einst ein legendärer Magier seinen Lehrmeister, den Gebannten, in einem großen magischen Krieg besiegt. Seit dem Ende des Krieges ist die Magie aus der Welt verbannt, gemunkelt wird aber, dass sie immer noch im Untergrund schlummert. Theo verdingt sich auf dem Schwarzmarkt als Verkäufer von mystischen Artefakten. Als er eine Statue veräußern will, gerät er in einen Hinterhalt – die Statue erwacht zum Leben und eine magische blaue Flamme entzündet sich. Bei der Flucht vor seinen Feinden trifft Theo auf Laviany, Angehörige des Nachtclans. Sie hat sich mit ihrer Assassinengilde überworfen und wird ebenfalls verfolgt. Scheinbar hat ihr Jäger es auf Theos Statue abgesehen ..."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://books.google.com/books/content?id=8-HkDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
44775156 ,"Die Schamanin (Im Zeichen der Mohnblume, #1)"                                                             ,R.F. Kuang               ,"Kuang, R.F."               ,Michaela Link                                                                                                                                                                                                                                                               ,9783641243876     ,"=""9783734162220""" ,        0 ,          4.17 ,Blanvalet Taschenbuch Verlag                ,Paperback             ,          669.0 ,        2020.0 ,                   2018.0 ,           ,2023/07/02 ,to-read           ,to-read (#81)              ,to-read           ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         0 ,           0 ,2020-01-20    ,      672 ,Fiction                                 ,              ,             ,"Rebecca F. Kuang interpretiert in ihrem Debüt die asiatische Geschichte neu und erschafft eine Welt voller Kampfkunst, Götter und uralter Magie. Rin ist ein einfaches Waisenmädchen, das im Süden des Kaiserreichs Nikan lebt. Ihre Adoptiveltern benutzen sie als billige Arbeitskraft, und um sie herum gibt es nur Armut, Drogensucht und Ödnis. Um diesem Leben zu entfliehen, setzt sie alles daran, um an der Eliteakademie von Sinegard aufgenommen zu werden. Doch auch dort wird Rin wegen ihrer Herkunft verspottet und ausgegrenzt. Da bricht ein Krieg gegen das Nachbarreich aus. Rin muss nun kämpfen und entdeckt dabei, dass ihre Welt nie so einfach war, wie sie geglaubt hatte – und dass sie zu viel mehr in der Lage ist, als sie selbst je für möglich gehalten hätte. RF Kuang wurde 2020 der Astounding Award for Best New Writer verliehen, der renommiertesten Auszeichnung, die ein Fantasy-Debütautor erlangen kann. Sie wird auf dem WorldCon als Teil der Hugo-Awards-Zeremonie verliehen. Im Zeichen der Mohnblume bei Blanvalet: 1. Die Schamanin 2. Die Kaiserin 3. Die Erlöserin"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,http://books.google.com/books/content?id=BOWPDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
58064046 ,Gallant                                                                                                    ,V.E. Schwab              ,"Schwab, V.E."              ,Manuel Sumberac                                                                                                                                                                                                                                                             ,9781785658693     ,"=""9780062835772""" ,        0 ,          3.74 ,Titan Books                                 ,Hardcover             ,          338.0 ,        2022.0 ,                   2022.0 ,           ,2022/08/29 ,to-read           ,to-read (#80)              ,to-read           ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         0 ,           0 ,2022-03-08    ,      340 ,Fiction                                 ,              ,             ,"The Number 1 Sunday Times-bestselling novel, from the author of The Invisible Life of Addie LaRue, and A Darker Shade of Magic. A darkly magical and thrilling tale of a young woman caught between the world and its shadows, who must embrace her legacy to stop the approaching darkness. The Secret Garden meets Crimson Peak, perfect for fans of Neil Gaiman, Holly Black and Susan Cooper. Fourteen-year-old Olivia Prior is missing three things: a mother, a father, and a voice. Her mother vanished all at once, and her father by degrees, and her voice was a thing she never had to start with. She grew up at Merilance School for Girls. Now, nearing the end of her time there, Olivia receives a letter from an uncle she's never met, her father's older brother, summoning her to his estate, a place called Gallant. But when she arrives, she discovers that the letter she received was several years old. Her uncle is dead. The estate is empty, save for the servants. Olivia is permitted to remain, but must follow two rules: don't go out after dusk, and always stay on the right side of a wall that runs along the estate's western edge. Beyond it is another realm, ancient and magical, which calls to Olivia through her blood..."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,http://books.google.com/books/content?id=CoM6EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
57965663 ,"Realm Breaker (Realm Breaker, #1)"                                                                        ,Victoria Aveyard         ,"Aveyard, Victoria"         ,                                                                                                                                                                                                                                                                            ,9781409193968     ,"=""9780062872623""" ,        0 ,          3.62 ,Hachette UK                                 ,Hardcover             ,          568.0 ,        2021.0 ,                   2021.0 ,           ,2022/08/29 ,to-read           ,to-read (#79)              ,to-read           ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         0 ,           0 ,2021-05-04    ,      437 ,Young Adult Fiction                     ,              ,             ,"SAVE THE WORLD OR END IT ... A BRAND NEW SERIES from the multimillion-copy, #1 New York Times bestselling author of Red Queen, as seen on TikTok... A strange darkness is growing in the Ward. Even Corayne an-Amarat can feel it, tucked away in her small town at the edge of the sea. Fate knocks on her door, in the form of a mythical immortal and a lethal assassin, who tell Corayne that she is the last of an ancient lineage - with the power to save the world from destruction. Because a man who would burn kingdoms to the ground is raising an army unlike any seen before, bent on uprooting the foundations of the world. With poison in his heart and a stolen sword in his hand, he'll break the realm itself to claim it. And only Corayne can stop him. Alongside an unlikely group of reluctant allies, Corayne finds herself on a desperate journey to complete an impossible task, with untold magic singing in her blood and the fate of the world on her shoulders. Realm Breaker is the first book in an epic new series and an instant #1 New York Times Bestseller! Perfect for fans of THE CRUEL PRINCE, SIX OF CROWS and THE HUNGER GAMES - don't miss the next instalment in the series, Blade Breaker. PRAISE FOR VICTORIA AVEYARD 'World building to rival the likes of George R.R. Martin' GUARDIAN 'A fantasy fan's dream' Roseanne A. Brown, New York Times bestseller 'A true fantasy masterpiece' Sabaa Tahir, #1 New York Times bestseller READERS LOVE THE REALM BREAKER SERIES 'Victoria Aveyard is the queen of cliffhangers and shattering your emotions' - ⭐⭐⭐⭐⭐ 'This book has everything. Fantasy. Adventure. Betrayals. Assassins. Pirates. Magic. Quests. Aveyard is a master of building worlds.' - ⭐⭐⭐⭐⭐ 'This book will yank you out of a reading slump and rekindle your dormant high fantasy obsession. That's worth five stars in my book.' - ⭐⭐⭐⭐⭐"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://books.google.com/books/content?id=xHLwDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
34726469 ,"Sky in the Deep (Sky and Sea, #1)"                                                                        ,Adrienne Young           ,"Young, Adrienne"           ,                                                                                                                                                                                                                                                                            ,9781250168450     ,"=""9781250168450""" ,        0 ,          3.95 ,Wednesday Books                             ,Hardcover             ,          340.0 ,        2018.0 ,                   2018.0 ,           ,2022/08/29 ,to-read           ,to-read (#78)              ,to-read           ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         0 ,           0 ,2018-04-24    ,      349 ,Young Adult Fiction                     ,              ,             ,"In this stunning debut, a young Viking warrior must challenge everything she's been taught in order to survive and protect those she loves."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://books.google.com/books/content?id=ncBODwAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
24974996 ,"Dear Martin (Dear Martin, #1)"                                                                            ,Nic Stone                ,"Stone, Nic"                ,                                                                                                                                                                                                                                                                            ,9781471175572     ,"="""""              ,        0 ,          4.35 ,Simon and Schuster                          ,Hardcover             ,          224.0 ,        2017.0 ,                   2017.0 ,           ,2022/08/29 ,to-read           ,to-read (#77)              ,to-read           ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         0 ,           0 ,2018-05-03    ,      172 ,Juvenile Fiction                        ,          2   ,           1 ,"'Absolutely incredible, honest, gut-wrenching! A must-read!' Angie Thomas, author of The Hate U Give ‘?Painfully timely and deeply moving, this is the novel the next generation should be reading’ Jodi Picoult ‘Justyce's story is earnest, funny, achingly human, and unshakably hopeful. I am forever changed.’ Becky Albertalli, author of Simon vs. the Homo Sapiens Agenda 'Raw and gripping' Jason Reynolds, author of Long Way Down 'A powerful, wrenching, and compulsively readable story that lays bare the history, and the present, of racism in America' John Green, author of The Fault in our Stars --------------- Raw, captivating, and undeniably real, Nic Stone boldly tackles American race relations in this #1 New York Times bestselling novel. Justyce McAllister is top of his class and set for the Ivy League – but none of that matters to the police officer who just put him in handcuffs. And despite leaving his rough neighbourhood behind, he can't escape the scorn of his former peers or the ridicule of his new classmates. Justyce looks to the teachings of Dr. Martin Luther King Jr. for answers. But do they hold up anymore? He starts a journal to Dr. King to find out. Then comes the day Justyce goes driving with his best friend, Manny, windows rolled down, music turned up – way up, sparking the fury of a white off-duty police officer beside them. Words fly. Shots are fired. Justyce and Manny are caught in the crosshairs. In the media fallout, it's Justyce who is under attack. Return to the world of Dear Martin in the stunning NEW novel from Nic Stone, Dear Justyce. Available now! Also by Nic Stone Odd One Out Jackpot Dear Justyce"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,http://books.google.com/books/content?id=yURIDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
55518780 ,Ace of Spades                                                                                              ,Faridah Àbíké-Íyímídé    ,"Àbíké-Íyímídé, Faridah"    ,                                                                                                                                                                                                                                                                            ,9781250832115     ,"=""9781250800817""" ,        0 ,          4.2  ,Feiwel & Friends                            ,Hardcover             ,          422.0 ,        2021.0 ,                   2021.0 ,           ,2022/08/29 ,to-read           ,to-read (#76)              ,to-read           ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         0 ,           0 ,2021-03-05    ,       27 ,Young Adult Fiction                     ,              ,             ,"Download a FREE sneak peek of Ace of Spades by Faridah Àbíké-Íyímídé. Gossip Girl meets Get Out in Ace of Spades, a YA contemporary thriller by debut author Faridah Àbíké-Íyímídé about two students, Devon & Chiamaka, and their struggles against an anonymous bully. All you need to know is . . . I’m here to divide and conquer. Like all great tyrants do. —Aces When two Niveus Private Academy students, Devon Richards and Chiamaka Adebayo, are selected to be part of the elite school’s senior class prefects, it looks like their year is off to an amazing start. After all, not only does it look great on college applications, but it officially puts each of them in the running for valedictorian, too. Shortly after the announcement is made, though, someone who goes by Aces begins using anonymous text messages to reveal secrets about the two of them that turn their lives upside down and threaten every aspect of their carefully planned futures. As Aces shows no sign of stopping, what seemed like a sick prank quickly turns into a dangerous game, with all the cards stacked against them. Can Devon and Chiamaka stop Aces before things become incredibly deadly? With heart-pounding suspense and relevant social commentary comes a high-octane thriller from debut author Faridah Àbíké-Íyímídé."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://books.google.com/books/content?id=dfcdEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
34128219 ,"La Belle Sauvage (The Book of Dust, #1)"                                                                  ,Philip Pullman           ,"Pullman, Philip"           ,                                                                                                                                                                                                                                                                            ,9781409025474     ,"=""9780375815300""" ,        0 ,          4.15 ,Random House                                ,Hardcover             ,          449.0 ,        2017.0 ,                   2017.0 ,           ,2022/08/29 ,to-read           ,to-read (#75)              ,to-read           ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         0 ,           0 ,2017-10-19    ,      466 ,Juvenile Fiction                        ,              ,             ,"WINNER- AUTHOR OF THE YEAR, BRITISH BOOK AWARDS SHORTLISTED- UK AUTHOR CATEGORY, NATIONAL BOOK AWARDS 2018 Philip Pullman's magnificent bestseller is now in paperback, with new additional illustrations. A coming of age story like no other . . . Malcolm Polstead's Oxford life has been one of routine, ordinary even. He is happiest playing with his daemon, Asta, in their canoe, La Belle Sauvage. But now as the rain builds, the world around Malcolm and Asta is, it seems, set to become increasingly far from ordinary. Finding himself linked to a baby by the name of Lyra Belacqua, Malcolm is forced to undertake the challenge of his life and to make a dangerous journey that will change him and Lyra for ever . . ."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://books.google.com/books/content?id=yrsIDgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
22552026 ,Long Way Down                                                                                              ,Jason Reynolds           ,"Reynolds, Jason"           ,                                                                                                                                                                                                                                                                            ,9781481438278     ,"=""9781481438254""" ,        0 ,          4.26 ,Simon and Schuster                          ,Hardcover             ,          306.0 ,        2017.0 ,                   2017.0 ,           ,2022/08/29 ,to-read           ,to-read (#74)              ,to-read           ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         0 ,           0 ,2017-10-24    ,      319 ,Young Adult Fiction                     ,          4.5 ,          14 ,"“An intense snapshot of the chain reaction caused by pulling a trigger.” —Booklist (starred review) “Astonishing.” —Kirkus Reviews (starred review) “A tour de force.” —Publishers Weekly (starred review) A Newbery Honor Book A Coretta Scott King Honor Book A Printz Honor Book A Time Best YA Book of All Time (2021) A Los Angeles Times Book Prize Winner for Young Adult Literature Longlisted for the National Book Award for Young People’s Literature Winner of the Walter Dean Myers Award An Edgar Award Winner for Best Young Adult Fiction Parents’ Choice Gold Award Winner An Entertainment Weekly Best YA Book of 2017 A Vulture Best YA Book of 2017 A Buzzfeed Best YA Book of 2017 An ode to Put the Damn Guns Down, this is New York Times bestselling author Jason Reynolds’s electrifying novel that takes place in sixty potent seconds—the time it takes a kid to decide whether or not he’s going to murder the guy who killed his brother. A cannon. A strap. A piece. A biscuit. A burner. A heater. A chopper. A gat. A hammer A tool for RULE Or, you can call it a gun. That’s what fifteen-year-old Will has shoved in the back waistband of his jeans. See, his brother Shawn was just murdered. And Will knows the rules. No crying. No snitching. Revenge. That’s where Will’s now heading, with that gun shoved in the back waistband of his jeans, the gun that was his brother’s gun. He gets on the elevator, seventh floor, stoked. He knows who he’s after. Or does he? As the elevator stops on the sixth floor, on comes Buck. Buck, Will finds out, is who gave Shawn the gun before Will took the gun. Buck tells Will to check that the gun is even loaded. And that’s when Will sees that one bullet is missing. And the only one who could have fired Shawn’s gun was Shawn. Huh. Will didn’t know that Shawn had ever actually USED his gun. Bigger huh. BUCK IS DEAD. But Buck’s in the elevator? Just as Will’s trying to think this through, the door to the next floor opens. A teenage girl gets on, waves away the smoke from Dead Buck’s cigarette. Will doesn’t know her, but she knew him. Knew. When they were eight. And stray bullets had cut through the playground, and Will had tried to cover her, but she was hit anyway, and so what she wants to know, on that fifth floor elevator stop, is, what if Will, Will with the gun shoved in the back waistband of his jeans, MISSES. And so it goes, the whole long way down, as the elevator stops on each floor, and at each stop someone connected to his brother gets on to give Will a piece to a bigger story than the one he thinks he knows. A story that might never know an END…if Will gets off that elevator. Told in short, fierce staccato narrative verse, Long Way Down is a fast and furious, dazzlingly brilliant look at teenage gun violence, as could only be told by Jason Reynolds."                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://books.google.com/books/content?id=RfauDgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
34323570 ,"Furyborn (Empirium, #1)"                                                                                  ,Claire Legrand           ,"Legrand, Claire"           ,                                                                                                                                                                                                                                                                            ,9781492656630     ,"=""9781492656623""" ,        0 ,          3.8  ,"Sourcebooks, Inc."                         ,Hardcover             ,          501.0 ,        2018.0 ,                   2018.0 ,           ,2022/08/29 ,to-read           ,to-read (#73)              ,to-read           ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         0 ,           0 ,2018-05-22    ,      523 ,Young Adult Fiction                     ,          4   ,           3 ,"The first book in the instant New York Times bestselling series, the Empirium Trilogy! Furyborn is an epic YA fantasy about two fiercely independent young women, centuries apart, who hold the power to save their world...or doom it. When assassins ambush her best friend, Rielle Dardenne risks everything to save him, exposing herself as one of a pair of prophesied queens: a queen of light, and one of blood. To prove she is the Sun Queen, Rielle must endure seven elemental magic trials. If she fails, she will be executed as the Blood Queen...unless the trials kill the queen first. One thousand years later, the legend of Queen Rielle is a fairy tale to Eliana Ferracora. A bounty hunter for the Undying Empire, Eliana believes herself untouchable—until her mother vanishes. To find her, Eliana joins a rebel captain and discovers that the evil at the empire's heart is more terrible than she ever imagined. As Rielle and Eliana fight in a cosmic war that spans millennia, their stories intersect, and the shocking connections between them ultimately determine the fate of their world—and of each other. Perfect for: Epic fantasy and dark fantasy YA readers Fans of To Kill A Kingdom and Ash Princess Lovers of dual POVs and epic world building Those who enjoy fiction about strong girls and women The Empirium Trilogy: Furyborn (Book 1) Kingsbane (Book 2) Lightbringer (Book 3) Praise for Furyborn: ""Set in an immersive world of elemental magic, legendary godsbeasts, and cutthroat assassins, Claire Legrand's Furyborn is an addictive, fascinating fantasy."" — Kendare Blake, #1 New York Times bestselling author of the Three Dark Crowns series A BuzzFeed Most Anticipated Title of Spring 2018 A Goodreads Most Anticipated Title of Spring 2018 A Bustle Most Anticipated Title of Spring 2018 ""A must-read."" —Refinery29 ""A series to watch."" —Paste Magazine ""Visionary."" —Bustle ""One of the biggest new YA Fantasies."" —Entertainment Weekly ""Empowering."" —BuzzFeed"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://books.google.com/books/content?id=qaZBDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
